No.,Rank,Result,Datetime(start),Datetime(end),Sum_turn,First_turn,First_card,Second_card,Third_card,Fourth_card,Fifth_card,Opp_decktype,Opp_handtrap,Opp's handtrap,Property
38,G3,Win,"@March 10, 2022 7:15 PM","@March 10, 2022 7:38 PM",10,Turn2,原始生命態ニビル,輝白竜 ワイバースター,ブレイクスルー・スキル,星遺物の守護竜,ノクトビジョン・ドラゴン,デュアル,0,,
39,G3,Win,"@March 10, 2022 7:40 PM","@March 10, 2022 7:45 PM",1,Turn2,増殖するG,PSYフレームギア・γ,ヴァレット・トレーサー,ヴァレット・リチャージャー,星遺物の守護竜,魔法　ペンデュラム,0,,
40,G2,Win,"@March 10, 2022 8:17 PM","@March 10, 2022 8:23 PM",3,Turn2,マスク・チェンジ・セカンド,墓穴の指名者,星遺物の守護竜,輝白竜 ワイバースター,星遺物の守護竜,トゥーン,0,,
41,G2,Lose,"@March 10, 2022 8:26 PM","@March 10, 2022 12:00 AM",7,Turn2,混沌領域,PSYフレームギア・γ,混沌領域,混沌領域,輝光竜セイファート,フォッシルダイナ,,,特殊召喚封じ。魔法罠破壊できず。
42,G2,Lose,"@March 12, 2022 1:39 AM","@March 12, 2022 2:00 AM",,Turn2,PSYフレームギア・γ,輝白竜 ワイバースター,ハーピィの羽根帚,マグナヴァレット・ドラゴン,墓穴の指名者,エルドリッチ,,,プレミをした。
43,G2,Win,"@March 12, 2022 2:30 AM","@March 12, 2022 2:42 AM",5,Turn2,サンダーボルト,灰流うらら,竜の渓谷,龍の鏡,ヴァレット・トレーサー,ドラゴンメイド,2,"増殖するG, 灰流うらら",
44,G2,Win,"@March 12, 2022 2:45 AM","@March 12, 2022 12:51 AM",2,Turn1,ハーピィの羽根帚,マグナヴァレット・ドラゴン,王宮の勅命,マスク・チェンジ・セカンド,ヴァレット・トレーサー,蠱惑魔,,,ヴァレルロード＋ダークロウ盤面出た瞬間サレンダー
45,G2,Win,"@March 12, 2022 2:56 AM","@March 12, 2022 2:58 AM",1,Turn1,PSYフレームギア・γ,ヴァレット・トレーサー,クイック・リボルブ,クイック・リボルブ,PSYフレーム・ドライバー,メガリス,1,増殖するG,増殖するGをPsyフレームで無効し、展開始めたらサレンダー
46,G2,Win,"@March 12, 2022 3:05 AM","@March 12, 2022 3:12 AM",1,Turn1,墓穴の指名者,ヴァレット・トレーサー,混沌領域,混沌領域,PSYフレームギア・γ,ミックスHERO,1,灰流うらら,カオステリトリーに対するうららをPsyフレームで無効。展開を続けていたらサレンダー。
47,G2,Win,"@March 12, 2022 3:16 AM","@March 12, 2022 3:33 AM",4,Turn1,墓穴の指名者,マグナヴァレット・ドラゴン,クイック・リボルブ,墓穴の指名者,ヴァレット・トレーサー,ブルーアイズ,1,増殖するG,サレンダー、アビスがささる
48,G2,Win,"@March 12, 2022 1:50 PM","@March 12, 2022 1:56 PM",2,Turn2,灰流うらら,クイック・リボルブ,輝白竜 ワイバースター,メタルヴァレット・ドラゴン,ハーピィの羽根帚,竜儀巧,1,灰流うらら,最初のサーチカードをうららで無効にする何も召喚できなかった相手はサレンダー
49,G2,Win,"@March 12, 2022 1:57 PM","@March 12, 2022 2:11 PM",4,Turn2,サンダー・ボルト,墓穴の指名者,輝白竜 ワイバースター,アブソルーター・ドラゴン,マスク・チェンジ・セカンド,罠メタ,,,ハーピィの羽根帚を引いから罠を破壊できた
５０,G2,Lose,"@March 12, 2022 2:17 PM","@March 12, 2022 2:47 PM",8,Turn1,クイック・リボルブ,クイック・リボルブ,輝白竜 ワイバースター,暗黒竜 コラプサーペント,龍の鏡,竜儀巧,,,
27,G2,Win,"@March 21, 2022 12:38 AM","@March 21, 2022 12:49 AM",5,Turn1,増殖するG,アブソルーター・ドラゴン,竜の渓谷,ハーピィの羽根帚,増殖するG,ブルーアイズ,,,
28,G1,Win,"@March 21, 2022 12:50 AM","@March 21, 2022 1:01 AM",2,Turn2,混沌領域,増殖するG,ノクトビジョン・ドラゴン,アブソルーター・ドラゴン,メタルヴァレット・ドラゴン,エルドリッチ,,,先行制圧のあと、サレンダー
23,G2,Win,"@March 13, 2022","@March 13, 2022 7:38 PM",2,Turn1,竜の渓谷,ヴァレット・トレーサー,ヴァレット・リチャージャー,ノクトビジョン・ドラゴン,混源龍レヴィオニア,デストーイ,,,
24,G2,Win,,"@March 13, 2022 8:24 PM",2,Turn2,増殖するG,灰流うらら,輝光竜セイファート,ハーピィの羽根帚,混沌領域,ドレミコード,,,
25,G2,Lose,,"@March 20, 2022 11:19 PM",2,Turn2,マグナヴァレット・ドラゴン,メタルヴァレット・ドラゴン,原始生命態ニビル,龍の鏡,混沌領域,シンクロ　竜星,,,
26,G2,Win,,"@March 21, 2022 11:40 PM",11,Turn1,PSYフレームギア・γ,ノクトビジョン・ドラゴン,ハーピィの羽根帚,星遺物の守護竜,ブレイクスルー・スキル,インフェルニティ,,,
29,G3,Win,"@March 21, 2022 11:36 PM","@March 21, 2022 12:00 AM",1,Turn2,PSYフレームギア・γ,PSYフレーム・ドライバー,クイック・リボルブ,星遺物の守護竜,混沌領域,ブルーアイズ,,,Psyフレームで初動を無効にしたらサレンダー
